breed,age,weight,lactation_stage,parity,hist_yield_avg7,feed_type,feed_quality,feed_qty_kg,walking_km,grazing_h,rumination_h,resting_h,body_temp,heart_rate,ambient_temp,humidity,housing_score,vaccinations_up_to_date,disease_history_count,season,health_score,disease_label,milk_yield,feed_efficiency
Holstein,12,548.0,mid,2,21.09,mixed,6.73,15.23,1.97,1.29,6.32,11.56,38.54,76,27.81,42.81,7.74,0,1,spring,0.46,minor,22.35,1.47
Buffalo,2,492.3,late,3,11.1,concentrate,7.28,22.15,1.39,1.98,3.78,11.23,39.18,63,19.96,43.51,8.3,1,1,spring,0.6,none,10.46,0.47
Buffalo,12,511.6,late,3,12.04,dry,6.62,16.38,2.95,0.09,4.52,9.06,38.12,62,33.97,42.68,8.94,1,0,autumn,0.22,minor,7.65,0.47
Brown Swiss,3,639.7,mid,1,18.61,mixed,6.16,13.48,0.3,1.16,5.75,10.28,38.91,60,25.95,72.51,6.38,1,0,spring,0.52,none,18.6,1.38
Holstein,3,540.2,late,2,26.44,dry,7.3,18.72,1.85,2.15,4.88,6.63,37.63,51,19.02,68.0,5.19,1,1,summer,0.55,none,20.32,1.09
Brown Swiss,11,552.5,early,3,21.3,mixed,5.43,10.98,2.11,1.94,5.35,10.04,39.46,62,18.86,63.59,7.44,1,0,autumn,0.52,none,23.32,2.12
Brown Swiss,3,540.6,late,4,19.33,green,3.85,12.37,2.47,4.68,8.0,15.83,38.75,55,12.21,65.35,5.37,1,0,summer,0.3,minor,16.22,1.31
Holstein,2,592.1,late,2,23.54,green,7.01,25.09,2.2,4.97,4.25,7.63,37.92,57,37.77,43.57,8.68,1,1,summer,0.07,minor,13.95,0.56
Buffalo,5,467.3,early,1,6.32,green,4.2,14.58,4.37,3.32,4.82,10.57,39.28,67,22.53,82.13,7.86,1,0,spring,0.38,minor,7.44,0.51
Buffalo,2,586.2,early,2,14.38,concentrate,9.03,13.91,2.96,2.21,4.99,9.67,38.7,79,25.54,72.88,2.9,1,0,winter,0.54,none,9.29,0.67
Jersey,4,583.3,early,2,16.55,concentrate,5.91,21.59,2.81,5.67,4.77,8.61,38.37,67,26.06,38.31,7.18,1,1,spring,0.56,none,21.35,0.99
Buffalo,7,470.5,mid,1,13.62,dry,5.32,7.04,1.76,0.88,4.21,8.25,38.44,47,16.2,100.0,4.43,1,0,winter,0.09,minor,11.41,1.62
Buffalo,2,481.6,mid,3,12.33,green,7.28,13.18,1.8,0.25,4.64,9.47,38.64,59,27.83,80.25,7.31,1,0,autumn,0.41,minor,7.86,0.6
Buffalo,8,495.1,early,3,7.71,green,6.97,11.0,3.79,3.53,5.72,6.51,39.06,69,18.34,50.57,7.53,1,0,summer,0.54,none,11.41,1.04
Buffalo,8,507.6,late,3,10.89,mixed,5.83,8.99,2.49,6.45,2.7,11.73,38.3,64,18.68,53.31,9.6,1,0,winter,0.5,minor,8.96,1.0
Jersey,14,621.9,late,4,20.97,green,7.91,17.83,3.76,4.5,7.73,11.46,37.56,64,17.97,49.63,10.0,1,0,spring,0.69,none,16.3,0.91
Holstein,5,539.2,early,2,28.47,green,7.6,7.53,2.46,3.14,5.62,13.23,37.26,59,28.55,28.37,9.95,1,0,winter,0.52,none,28.88,3.84
Buffalo,11,511.6,mid,3,9.56,dry,7.19,18.93,0.41,2.75,7.22,8.51,38.01,67,30.07,60.23,9.66,1,1,spring,0.5,minor,14.3,0.76
Buffalo,10,399.8,mid,2,13.93,concentrate,3.62,8.49,0.0,1.41,5.66,11.05,38.67,50,11.14,61.09,6.06,1,0,autumn,0.16,minor,5.68,0.67
